iterations,rave_exploration,exploration,score
1000,14,7,43
1000,14,7,52
1000,16,5,50
1000,16,5,51
1000,16,5,47
1000,16,5,48
1000,16,5,52
1000,16,5,43
1000,16,5,49
1000,16,5,49
1000,16,5,46
1000,16,5,50
1000,16,6.4,49
1000,16,6.4,53
1000,16,6.4,50
1000,16,6.4,48
1000,16,6.4,45
1000,16,6.4,43
1000,16,6.4,40
1000,16,6.4,41
1000,16,6.4,47
1000,16,6.4,46
1000,16,7,45
1000,16,7,49
1000,16,7,44
1000,16,7,51
1000,16,7,52
1000,16,7,51
1000,16,7,46
1000,16,7,46
1000,16,7,49
1000,16,7,47
1000,18,5,42
1000,18,5,46
1000,18,5,50
1000,18,5,52
1000,18,5,50
1000,18,5,51
1000,18,5,39
1000,18,5,45
1000,18,5,52
1000,18,5,47
1000,18,6.4,51
1000,18,6.4,53
1000,18,6.4,49
1000,18,6.4,47
1000,18,6.4,45
1000,18,6.4,42
1000,18,6.4,40
1000,18,6.4,52
1000,18,6.4,49
1000,18,6.4,40
1000,18,7,49
1000,18,7,51
1000,18,7,38
1000,18,7,48
1000,18,7,47
1000,18,7,44
1000,18,7,52
1000,18,7,46
1000,18,7,46
1000,18,7,49
100,14,5,37
100,14,5,39
100,14,5,35
100,14,5,43
100,14,5,30
100,14,5,39
100,14,5,40
100,14,5,35
100,14,5,39
100,14,5,37
100,14,6.4,41
100,14,6.4,38
100,14,6.4,35
100,14,6.4,38
100,14,6.4,40
100,14,6.4,39
100,14,6.4,36
100,14,6.4,26
100,14,6.4,31
100,14,6.4,42
100,14,7,46
100,14,7,33
100,14,7,33
100,14,7,28
100,14,7,30
100,14,7,42
100,14,7,36
100,14,7,37
100,14,7,34
100,14,7,35
100,16,5,30
100,16,5,31
100,16,5,38
100,16,5,32
100,16,5,37
100,16,5,38
100,16,5,42
100,16,5,37
100,16,5,37
100,16,5,34
100,16,6.4,33
100,16,6.4,42
100,16,6.4,41
100,16,6.4,36
100,16,6.4,35
100,16,6.4,38
100,16,6.4,34
100,16,6.4,33
100,16,6.4,41
100,16,6.4,41
100,16,7,24
100,16,7,31
100,16,7,35
100,16,7,36
100,16,7,38
100,16,7,26
100,16,7,31
100,16,7,37
100,16,7,34
100,16,7,47
100,18,5,31
100,18,5,31
100,18,5,36
100,18,5,39
100,18,5,42
100,18,5,39
100,18,5,32
100,18,5,25
100,18,5,25
100,18,5,31
100,18,6.4,34
100,18,6.4,41
100,18,6.4,35
100,18,6.4,37
100,18,6.4,38
100,18,6.4,40
100,18,6.4,41
100,18,6.4,43
100,18,6.4,46
100,18,6.4,42
100,18,7,27
100,18,7,47
100,18,7,32
100,18,7,31
100,18,7,40
100,18,7,43
100,18,7,37
100,18,7,35
100,18,7,36
100,18,7,37
1000,14,5,42
1000,14,5,49
1000,14,5,44
1000,14,5,52
1000,14,5,51
1000,14,5,44
1000,14,5,48
1000,14,5,35
1000,14,5,52
1000,14,5,50
1000,14,6.4,44
1000,14,6.4,47
1000,14,6.4,52
1000,14,6.4,42
1000,14,6.4,54
1000,14,6.4,46
1000,14,6.4,48
1000,14,6.4,53
1000,14,6.4,42
1000,14,6.4,47
1000,14,7,50
1000,14,7,46
1000,14,7,40
1000,14,7,41
1000,14,7,44
1000,14,7,46
1000,14,7,46
1000,14,7,46
1000,14,7,50
1000,14,7,46
1000,16,5,43
1000,16,5,44
1000,16,5,53
1000,16,5,45
1000,16,5,51
1000,16,5,44
1000,16,5,48
1000,16,5,46
1000,16,5,43
1000,16,5,52
1000,16,6.4,43
1000,16,6.4,48
1000,16,6.4,53
1000,16,6.4,45
1000,16,6.4,48
1000,16,6.4,40
1000,16,6.4,46
1000,16,6.4,53
1000,16,6.4,51
1000,16,6.4,49
1000,16,7,54
1000,16,7,50
1000,16,7,44
1000,16,7,51
1000,16,7,47
1000,16,7,39
1000,16,7,45
1000,16,7,48
1000,16,7,44
1000,16,7,45
1000,18,5,31
1000,18,5,50
1000,18,5,48
1000,18,5,47
1000,18,5,46
1000,18,5,45
1000,18,5,53
1000,18,5,46
1000,18,5,48
1000,18,5,44
1000,18,6.4,51
1000,18,6.4,47
1000,18,6.4,40
1000,18,6.4,54
1000,18,6.4,49
1000,18,6.4,49
1000,18,6.4,47
1000,18,6.4,47
1000,18,6.4,46
1000,18,6.4,35
1000,18,7,44
1000,18,7,53
1000,18,7,47
1000,18,7,46
1000,18,7,47
1000,18,7,53
1000,18,7,49
1000,18,7,44
1000,18,7,45
1000,18,7,46
100,14,5,40
100,14,5,30
100,14,5,41
100,14,5,36
100,14,5,34
100,14,5,33
100,14,5,42
100,14,5,32
100,14,5,28
100,14,5,34
100,14,6.4,36
100,14,6.4,44
100,14,6.4,35
100,14,6.4,33
100,14,6.4,40
100,14,6.4,25
100,14,6.4,36
100,14,6.4,25
100,14,6.4,36
100,14,6.4,38
100,14,7,31
100,14,7,40
100,14,7,30
100,14,7,44
100,14,7,31
100,14,7,32
100,14,7,33
100,14,7,33
100,14,7,30
100,14,7,34
100,16,5,33
100,16,5,36
100,16,5,34
100,16,5,39
100,16,5,40
100,16,5,34
100,16,5,26
100,16,5,33
100,16,5,35
100,16,5,40
100,16,6.4,33
100,16,6.4,38
100,16,6.4,41
100,16,6.4,32
100,16,6.4,33
100,16,6.4,34
100,16,6.4,30
100,16,6.4,29
100,16,6.4,38
100,16,6.4,37
100,16,7,40
100,16,7,31
100,16,7,36
100,16,7,27
100,16,7,32
100,16,7,40
100,16,7,30
100,16,7,30
100,16,7,35
100,16,7,39
100,18,5,44
100,18,5,34
100,18,5,43
100,18,5,32
100,18,5,35
100,18,5,39
100,18,5,44
100,18,5,36
100,18,5,41
100,18,5,29
100,18,6.4,36
100,18,6.4,40
100,18,6.4,42
100,18,6.4,42
100,18,6.4,34
100,18,6.4,44
100,18,6.4,36
100,18,6.4,44
100,18,6.4,40
100,18,6.4,31
100,18,7,35
100,18,7,28
100,18,7,32
100,18,7,35
100,18,7,38
100,18,7,41
100,18,7,36
100,18,7,37
100,18,7,34
100,18,7,33
1000,14,5,48
1000,14,5,43
1000,14,5,38
1000,14,5,49
1000,14,5,52
1000,14,5,45
1000,14,5,51
1000,14,5,42
1000,14,5,51
1000,14,5,44
1000,14,6.4,52
1000,14,6.4,51
1000,14,6.4,49
1000,14,6.4,54
1000,14,6.4,44
1000,14,6.4,40
1000,14,6.4,44
1000,14,6.4,48
1000,14,6.4,54
1000,14,6.4,53
1000,14,7,45
1000,14,7,45
1000,14,7,43
1000,14,7,43
1000,14,7,42
1000,14,7,47
1000,14,7,47
1000,14,7,49
1000,14,7,48
1000,14,7,48
1000,16,5,54
1000,16,5,45
1000,16,5,42
1000,16,5,48
1000,16,5,47
1000,16,5,47
1000,16,5,44
1000,16,5,52
1000,16,5,47
1000,16,5,37
1000,16,6.4,46
1000,16,6.4,37
1000,16,6.4,48
1000,16,6.4,48
1000,16,6.4,46
1000,16,6.4,48
1000,16,6.4,48
1000,16,6.4,48
1000,16,6.4,43
1000,16,6.4,54
1000,16,7,51
1000,16,7,56
1000,16,7,45
1000,16,7,42
1000,16,7,50
1000,16,7,38
1000,16,7,41
1000,16,7,47
1000,16,7,47
1000,16,7,47
1000,18,5,40
1000,18,5,53
1000,18,5,51
1000,18,5,54
1000,18,5,50
1000,18,5,50
1000,18,5,48
1000,18,5,44
1000,18,5,52
1000,18,5,48
1000,18,6.4,53
1000,18,6.4,48
1000,18,6.4,49
1000,18,6.4,48
1000,18,6.4,49
1000,18,6.4,46
1000,18,6.4,51
1000,18,6.4,49
1000,18,6.4,52
1000,18,6.4,45
1000,18,7,37
1000,18,7,50
1000,18,7,44
1000,18,7,52
1000,18,7,50
1000,18,7,41
1000,18,7,51
1000,18,7,47
1000,18,7,46
1000,18,7,51
100,14,5,37
100,14,5,28
100,14,5,41
100,14,5,34
100,14,5,30
100,14,5,32
100,14,5,43
100,14,5,17
100,14,5,38
100,14,5,38
100,14,6.4,34
100,14,6.4,36
100,14,6.4,37
100,14,6.4,36
100,14,6.4,39
100,14,6.4,38
100,14,6.4,28
100,14,6.4,37
100,14,6.4,32
100,14,6.4,29
100,14,7,37
100,14,7,37
100,14,7,33
100,14,7,39
100,14,7,35
100,14,7,44
100,14,7,37
100,14,7,31
100,14,7,38
100,14,7,39
100,16,5,41
100,16,5,52
100,16,5,35
100,16,5,32
100,16,5,37
100,16,5,38
100,16,5,41
100,16,5,42
100,16,5,35
100,16,5,35
100,16,6.4,33
100,16,6.4,42
100,16,6.4,27
100,16,6.4,36
100,16,6.4,40
100,16,6.4,41
100,16,6.4,38
100,16,6.4,32
100,16,6.4,37
100,16,6.4,45
100,16,7,41
100,16,7,34
100,16,7,34
100,16,7,35
100,16,7,40
100,16,7,39
100,16,7,37
100,16,7,32
100,16,7,40
100,16,7,35
100,18,5,37
100,18,5,35
100,18,5,28
100,18,5,25
100,18,5,35
100,18,5,26
100,18,5,37
100,18,5,33
100,18,5,38
100,18,5,43
100,18,6.4,31
100,18,6.4,34
100,18,6.4,29
100,18,6.4,40
100,18,6.4,44
100,18,6.4,35
100,18,6.4,29
100,18,6.4,28
100,18,6.4,41
100,18,6.4,39
100,18,7,29
100,18,7,36
100,18,7,38
100,18,7,38
100,18,7,45
100,18,7,42
100,18,7,32
100,18,7,39
100,18,7,39
100,18,7,30
1000,14,5,51
1000,14,5,45
1000,14,5,49
1000,14,5,40
1000,14,5,50
1000,14,5,46
1000,14,5,51
1000,14,5,41
1000,14,5,47
1000,14,5,48
1000,14,6.4,49
1000,14,6.4,44
1000,14,6.4,43
1000,14,6.4,45
1000,14,6.4,40
1000,14,6.4,48
1000,14,6.4,47
1000,14,6.4,45
1000,14,6.4,44
1000,14,6.4,53
1000,14,7,45
1000,14,7,48
1000,14,7,43
1000,14,7,40
1000,14,7,44
1000,14,7,49
1000,14,7,50
1000,14,7,48
1000,14,7,45
1000,14,7,49
1000,16,5,47
1000,16,5,53
1000,16,5,48
1000,16,5,49
1000,16,5,52
1000,16,5,44
1000,16,5,51
1000,16,5,51
1000,16,5,51
1000,16,5,53
1000,16,6.4,47
1000,16,6.4,40
1000,16,6.4,55
1000,16,6.4,38
1000,16,6.4,46
1000,16,6.4,45
1000,16,6.4,46
1000,16,6.4,48
1000,16,6.4,49
1000,16,6.4,51
1000,16,7,36
1000,16,7,43
1000,16,7,47
1000,16,7,42
1000,16,7,49
1000,16,7,42
1000,16,7,44
1000,16,7,43
1000,16,7,41
1000,16,7,46
1000,18,5,46
1000,18,5,46
1000,18,5,52
1000,18,5,37
1000,18,5,46
1000,18,5,45
1000,18,5,48
1000,18,5,47
1000,18,5,48
1000,18,5,54
1000,18,6.4,42
1000,18,6.4,50
1000,18,6.4,50
1000,18,6.4,49
1000,18,6.4,39
1000,18,6.4,46
1000,18,6.4,49
1000,18,6.4,51
1000,18,6.4,50
1000,18,6.4,41
1000,18,7,35
1000,18,7,51
1000,18,7,49
1000,18,7,51
1000,18,7,42
1000,18,7,43
1000,18,7,55
1000,18,7,48
1000,18,7,42
1000,18,7,51
100,14,5,40
100,14,5,35
100,14,5,35
100,14,5,41
100,14,5,42
100,14,5,42
100,14,5,41
100,14,5,32
100,14,5,23
100,14,5,36
100,14,6.4,31
100,14,6.4,40
100,14,6.4,38
100,14,6.4,41
100,14,6.4,30
100,14,6.4,30
100,14,6.4,32
100,14,6.4,35
100,14,6.4,39
100,14,6.4,36
100,14,7,33
100,14,7,40
100,14,7,47
100,14,7,39
100,14,7,38
100,14,7,44
100,14,7,38
100,14,7,27
100,14,7,39
100,14,7,29
100,16,5,38
100,16,5,30
100,16,5,42
100,16,5,33
100,16,5,38
100,16,5,42
100,16,5,33
100,16,5,31
100,16,5,41
100,16,5,24
100,16,6.4,32
100,16,6.4,37
100,16,6.4,37
100,16,6.4,39
100,16,6.4,40
100,16,6.4,33
100,16,6.4,36
100,16,6.4,30
100,16,6.4,39
100,16,6.4,27
100,16,7,42
100,16,7,36
100,16,7,29
100,16,7,39
100,16,7,27
100,16,7,39
100,16,7,41
100,16,7,38
100,16,7,25
100,16,7,31
100,18,5,38
100,18,5,36
100,18,5,33
100,18,5,35
100,18,5,46
100,18,5,34
100,18,5,32
100,18,5,34
100,18,5,41
100,18,5,40
100,18,6.4,30
100,18,6.4,40
100,18,6.4,39
100,18,6.4,36
100,18,6.4,37
100,18,6.4,31
100,18,6.4,38
100,18,6.4,33
100,18,6.4,33
100,18,6.4,34
100,18,7,34
100,18,7,35
100,18,7,32
100,18,7,31
100,18,7,31
100,18,7,36
100,18,7,34
100,18,7,35
